FridayWeekStock,Cases per Week,Close,Ticker
2018-12-28,0,25.47000026702881,AC
2019-01-04,0,26.67600021362305,AC
2019-01-11,0,27.74000015258789,AC
2019-01-18,0,28.227999877929687,AC
2019-01-25,0,28.99800033569336,AC
2019-02-01,0,30.841999816894532,AC
2019-02-08,0,31.670000076293945,AC
2019-02-15,0,33.09000015258789,AC
2019-02-22,0,33.56800003051758,AC
2019-03-01,0,33.279999542236325,AC
2019-03-08,0,32.491999816894534,AC
2019-03-15,0,31.545999908447264,AC
2019-03-22,0,31.76400032043457,AC
2019-03-29,0,33.1740005493164,AC
2019-04-05,0,32.668000030517575,AC
2019-04-12,0,32.194000244140625,AC
2019-04-19,0,31.80500030517578,AC
2019-04-26,0,32.273999786376955,AC
2019-05-03,0,35.31399917602539,AC
2019-05-10,0,38.5,AC
2019-05-17,0,40.21250057220459,AC
2019-05-24,0,40.645999908447266,AC
2019-05-31,0,39.36800003051758,AC
2019-06-07,0,39.470000457763675,AC
2019-06-14,0,39.8520004272461,AC
2019-06-21,0,39.92599945068359,AC
2019-06-28,0,40.80999946594238,AC
2019-07-05,0,41.523999786376955,AC
2019-07-12,0,43.29999923706055,AC
2019-07-19,0,44.21999969482422,AC
2019-07-26,0,45.54399948120117,AC
2019-08-02,0,44.08750057220459,AC
2019-08-09,0,43.1879997253418,AC
2019-08-16,0,43.71399993896485,AC
2019-08-23,0,42.89999923706055,AC
2019-08-30,0,44.00749969482422,AC
2019-09-06,0,43.310000610351565,AC
2019-09-13,0,43.07600021362305,AC
2019-09-20,0,43.012000274658206,AC
2019-09-27,0,42.98399963378906,AC
2019-10-04,0,43.572000885009764,AC
2019-10-11,0,45.52500057220459,AC
2019-10-18,0,45.731999206542966,AC
2019-10-25,0,46.518000793457034,AC
2019-11-01,0,47.45200042724609,AC
2019-11-08,0,48.69800033569336,AC
2019-11-15,0,49.60000076293945,AC
2019-11-22,0,50.07999954223633,AC
2019-11-29,0,49.455999755859374,AC
2019-12-06,0,48.92999954223633,AC
2019-12-13,0,49.81399993896484,AC
2019-12-20,0,49.66333262125651,AC
2019-12-27,0,49.25999927520752,AC
2020-01-03,0,48.49800033569336,AC
2020-01-10,0,51.66600036621094,AC
2020-01-17,0,49.63400039672852,AC
2020-01-24,3,45.50999984741211,AC
2020-01-31,4,45.73399963378906,AC
2020-02-07,0,46.24800033569336,AC
2020-02-14,2,45.2450008392334,AC
2020-02-21,5,38.00199966430664,AC
2020-02-28,33,34.19799957275391,AC
2020-03-06,110,29.397999572753907,AC
2020-03-13,705,16.947999954223633,AC
2020-03-20,3168,15.127999877929687,AC
2020-03-27,7239,15.552000045776367,AC
2020-04-03,9481,17.01999988555908,AC
2020-04-10,9341,18.625,AC
2020-04-17,12002,18.03400001525879,AC
2020-04-24,11118,19.905999755859376,AC
2020-05-01,11682,17.429999923706056,AC
2020-05-08,8568,15.597999763488769,AC
2020-05-15,7835,16.334999799728394,AC
2020-05-22,7188,16.71599998474121,AC
2020-05-29,5211,17.358000183105467,AC
