FridayWeekStock,Cases per Week,Close,Ticker
2018-12-28,0,68.04999923706055,BNS
2019-01-04,0,69.6479995727539,BNS
2019-01-11,0,71.91799926757812,BNS
2019-01-18,0,73.55399932861329,BNS
2019-01-25,0,74.18800048828125,BNS
2019-02-01,0,74.40600128173828,BNS
2019-02-08,0,74.49800109863281,BNS
2019-02-15,0,75.18499946594238,BNS
2019-02-22,0,73.96599884033203,BNS
2019-03-01,0,72.59000091552734,BNS
2019-03-08,0,72.64600067138672,BNS
2019-03-15,0,73.10599975585937,BNS
2019-03-22,0,70.9740005493164,BNS
2019-03-29,0,71.1020004272461,BNS
2019-04-05,0,71.25400085449219,BNS
2019-04-12,0,72.4740005493164,BNS
2019-04-19,0,72.8125,BNS
2019-04-26,0,73.5259994506836,BNS
2019-05-03,0,72.86000061035156,BNS
2019-05-10,0,71.49400024414062,BNS
2019-05-17,0,71.2549991607666,BNS
2019-05-24,0,70.11399993896484,BNS
2019-05-31,0,69.56399841308594,BNS
2019-06-07,0,70.48800048828124,BNS
2019-06-14,0,71.0,BNS
2019-06-21,0,71.33400115966796,BNS
2019-06-28,0,70.86749839782715,BNS
2019-07-05,0,70.83200073242188,BNS
2019-07-12,0,69.43600006103516,BNS
2019-07-19,0,69.91400146484375,BNS
2019-07-26,0,70.47000122070312,BNS
2019-08-02,0,69.11750030517578,BNS
2019-08-09,0,68.4240005493164,BNS
2019-08-16,0,68.16400146484375,BNS
2019-08-23,0,68.76999969482422,BNS
2019-08-30,0,70.97249984741211,BNS
2019-09-06,0,73.10800018310547,BNS
2019-09-13,0,74.65400085449218,BNS
2019-09-20,0,75.3479995727539,BNS
2019-09-27,0,74.76600036621093,BNS
2019-10-04,0,74.47799835205078,BNS
2019-10-11,0,75.4950008392334,BNS
2019-10-18,0,75.24400024414062,BNS
2019-10-25,0,75.43400115966797,BNS
2019-11-01,0,76.25800018310547,BNS
2019-11-08,0,76.31999969482422,BNS
2019-11-15,0,76.20599975585938,BNS
2019-11-22,0,75.2759994506836,BNS
2019-11-29,0,74.53200073242188,BNS
2019-12-06,0,74.82799835205078,BNS
2019-12-13,0,73.85400085449218,BNS
2019-12-20,0,73.51999918619792,BNS
2019-12-27,0,73.47249984741211,BNS
2020-01-03,0,72.48399810791015,BNS
2020-01-10,0,72.24199981689453,BNS
2020-01-17,0,72.91199951171875,BNS
2020-01-24,3,73.0499984741211,BNS
2020-01-31,4,72.9760009765625,BNS
2020-02-07,0,74.46199951171874,BNS
2020-02-14,2,74.65250015258789,BNS
2020-02-21,5,72.75800018310547,BNS
2020-02-28,33,69.98400115966797,BNS
2020-03-06,110,59.18399887084961,BNS
2020-03-13,705,53.3,BNS
